,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,ESTADO DE MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS,NACIONAL
125,78.8,5.0,0.0,245.7,12.7,115.2,316.6,29.6,159.9,39.3,91.2,133.1,59.2,89.8,103.6,92.2,226.7,98.3,59.2,203.4,223.3,97.2,254.4,104.6,10.9,1.3,436.1,65.5,170.6,174.6,134.4,82.4,89.1
126,120.0,0.3,8.3,141.8,42.2,73.1,311.8,79.4,154.6,87.9,112.2,137.1,98.6,109.1,117.6,124.7,127.1,392.0,46.4,308.8,342.8,29.8,167.0,104.1,131.3,55.1,463.7,63.3,115.4,303.9,128.7,121.8,122.5
127,150.7,0.5,25.4,180.7,48.2,237.1,375.4,78.5,191.2,97.6,162.9,218.4,164.4,161.8,137.4,164.2,232.1,380.6,197.8,675.3,518.2,181.6,73.6,260.9,185.8,101.9,405.3,233.6,270.0,285.3,111.6,176.1,179.4
128,92.7,1.0,91.0,413.4,80.9,104.0,286.4,94.6,100.4,75.8,72.8,171.1,63.6,100.7,74.8,92.4,105.9,197.8,54.1,132.0,282.3,112.8,420.0,61.7,149.5,76.0,518.0,86.1,97.8,168.0,182.0,82.4,127.4
129,0.4,0.0,0.0,382.3,23.6,48.7,199.0,7.0,51.0,2.1,9.7,58.0,112.0,7.4,27.4,20.6,54.5,1.2,23.2,210.2,263.9,9.8,210.3,61.8,0.7,9.4,467.1,65.2,65.4,171.0,118.0,0.7,66.5
130,3.3,1.6,5.8,103.1,24.5,28.1,101.2,9.1,64.2,1.4,13.3,25.5,60.5,5.9,27.7,21.0,46.7,8.1,37.1,78.3,111.2,21.1,65.9,36.0,1.3,17.6,166.5,66.2,63.8,88.3,77.9,3.8,35.4
131,5.5,8.3,4.4,41.6,12.8,17.8,86.1,9.6,69.1,7.1,22.9,46.0,28.0,11.8,13.6,35.4,54.5,12.3,18.4,68.5,71.5,23.7,82.2,22.0,1.3,3.7,193.0,33.9,65.0,69.0,58.4,14.5,28.2
132,0.0,22.6,0.1,25.3,1.0,0.0,22.5,3.5,0.3,1.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.4,1.9,7.3,0.0,30.6,0.9,0.7,0.0,70.1,0.6,0.0,12.9,21.5,0.0,5.9
133,1.4,19.1,0.6,14.5,1.6,0.2,16.7,2.8,0.4,0.9,0.0,0.0,3.8,0.3,0.4,0.0,0.0,0.1,2.6,9.8,19.9,0.0,19.1,6.2,0.5,2.6,49.7,1.0,0.5,23.3,12.1,2.6,6.0
134,0.0,40.6,0.0,19.0,0.2,0.0,17.9,0.0,2.3,0.0,0.8,0.0,11.1,0.1,2.3,0.3,8.5,0.2,2.4,6.9,25.8,0.7,55.1,9.6,0.0,0.2,61.5,8.1,3.8,33.7,41.7,0.0,8.5
